collegeid,college name,course,merit number,seat type,percentile
100219110,"Government College of Engineering, Amravati",Civil Engineering,42935.0,GOBCS,82.1650299
100219110,"Government College of Engineering, Amravati",Civil Engineering,41293.0,GOPENS,82.540133
100219110,"Government College of Engineering, Amravati",Civil Engineering,20303.0,LOPENS,91.765679
100219110,"Government College of Engineering, Amravati",Civil Engineering,44323.0,LSTS,81.2344165
100219110,"Government College of Engineering, Amravati",Civil Engineering,129672.0,TFWS,20.3198986
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,10798.0,EWS,95.7719768
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,5640.0,GOPENS,97.818535
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,23177.0,GVJS,90.6234798
100224610,"Government College of Engineering, Amravati",Information Technology,25898.0,GNT3S,89.4065093
100224610,"Government College of Engineering, Amravati",Information Technology,7015.0,GOPENS,97.2746725
100224610,"Government College of Engineering, Amravati",Information Technology,17291.0,GSCS,93.1024197
100229310,"Government College of Engineering, Amravati",Electrical Engineering,43807.0,GSCS,81.4853713
100229310,"Government College of Engineering, Amravati",Electrical Engineering,110694.0,LNT3S,39.9066862
100229310,"Government College of Engineering, Amravati",Electrical Engineering,23573.0,LOPENS,90.4938272
100229310,"Government College of Engineering, Amravati",Electrical Engineering,139232.0,LSTS,7.5516424
100229310,"Government College of Engineering, Amravati",Electrical Engineering,27067.0,PWDOPENS,88.9154021
100229310,"Government College of Engineering, Amravati",Electrical Engineering,39749.0,TFWS,83.3890161
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,13135.0,GOPENS,94.8416105
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,27738.0,GSCS,88.6736154
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,87083.0,GSTS,58.1195238
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,8514.0,LOPENS,96.6904656
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,34655.0,LSCS,85.6187666
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,18211.0,TFWS,92.6748971
100246610,"Government College of Engineering, Amravati",Instrumentation Engineering,108041.0,GNT2S,42.5530244
100246610,"Government College of Engineering, Amravati",Instrumentation Engineering,47316.0,GOBCS,79.8081214
100246610,"Government College of Engineering, Amravati",Instrumentation Engineering,44818.0,GOPENS,81.0352521
100246610,"Government College of Engineering, Amravati",Instrumentation Engineering,80268.0,GSCS,62.3996115
100246610,"Government College of Engineering, Amravati",Instrumentation Engineering,75730.0,LNT1S,65.107535
100246610,"Government College of Engineering, Amravati",Instrumentation Engineering,39830.0,LOPENS,83.3890161
100246610,"Government College of Engineering, Amravati",Instrumentation Engineering,73462.0,TFWS,66.4309764
100261210,"Government College of Engineering, Amravati",Mechanical Engineering,44372.0,DEFOPENS,81.2344165
100261210,"Government College of Engineering, Amravati",Mechanical Engineering,28185.0,GOPENS,88.4658665
100261210,"Government College of Engineering, Amravati",Mechanical Engineering,35874.0,GSCS,85.1782223
100261210,"Government College of Engineering, Amravati",Mechanical Engineering,55053.0,GSTS,76.2843676
100261210,"Government College of Engineering, Amravati",Mechanical Engineering,40144.0,LOPENS,83.348395
100550310,"Sant Gadge Baba Amravati University,Amravati",Food Technology,88784.0,GOPENH,56.7366842
100550310,"Sant Gadge Baba Amravati University,Amravati",Food Technology,121366.0,GSTH,29.4111028
100550310,"Sant Gadge Baba Amravati University,Amravati",Food Technology,40550.0,GVJH,83.2373857
100550310,"Sant Gadge Baba Amravati University,Amravati",Food Technology,105571.0,GOPENO,44.0513989
100551710,"Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,90400.0,GOBCO,55.7163295
100552710,"Sant Gadge Baba Amravati University,Amravati",Petro Chemical Engineering,137595.0,GOPENH,9.4916141
100552710,"Sant Gadge Baba Amravati University,Amravati",Petro Chemical Engineering,110636.0,LOPENH,39.9066862
101219110,"Government College of Engineering,Yavatmal",Civil Engineering,78603.0,GNT3H,63.6508999
101219110,"Government College of Engineering,Yavatmal",Civil Engineering,88886.0,GOPENH,56.7366842
101219110,"Government College of Engineering,Yavatmal",Civil Engineering,92238.0,GSCH,54.6296296
101219110,"Government College of Engineering,Yavatmal",Civil Engineering,94031.0,GSTH,52.7523799
101219110,"Government College of Engineering,Yavatmal",Civil Engineering,120237.0,GNT2O,30.5964599
101219110,"Government College of Engineering,Yavatmal",Civil Engineering,108469.0,GOBCO,42.4233825
101219110,"Government College of Engineering,Yavatmal",Civil Engineering,77325.0,GOPENO,64.0952985
101219110,"Government College of Engineering,Yavatmal",Civil Engineering,105883.0,GSCO,43.6615489
101219110,"Government College of Engineering,Yavatmal",Civil Engineering,53834.0,LOPENO,76.839044
101219110,"Government College of Engineering,Yavatmal",Civil Engineering,123232.0,LSTO,27.3241113
101219110,"Government College of Engineering,Yavatmal",Civil Engineering,64080.0,DEFOPENS,71.6354089
101219110,"Government College of Engineering,Yavatmal",Civil Engineering,60975.0,TFWS,73.2701208
101224510,"Government College of Engineering,Yavatmal",Computer Engineering,27937.0,GOBCH,88.6173431
101224510,"Government College of Engineering,Yavatmal",Computer Engineering,26235.0,GOPENH,89.3527871
101224510,"Government College of Engineering,Yavatmal",Computer Engineering,25903.0,LOPENH,89.4065093
101224510,"Government College of Engineering,Yavatmal",Computer Engineering,31288.0,GOBCO,87.0718315
101224510,"Government College of Engineering,Yavatmal",Computer Engineering,31061.0,GOPENO,87.2266503
101224510,"Government College of Engineering,Yavatmal",Computer Engineering,39771.0,LNT2O,83.3890161
101224510,"Government College of Engineering,Yavatmal",Computer Engineering,30196.0,LOBCO,87.6216398
101224510,"Government College of Engineering,Yavatmal",Computer Engineering,20144.0,LOPENO,91.804929
101224510,"Government College of Engineering,Yavatmal",Computer Engineering,50916.0,LSCO,78.3308876
101224510,"Government College of Engineering,Yavatmal",Computer Engineering,43643.0,DEFOPENS,81.5104589
101224510,"Government College of Engineering,Yavatmal",Computer Engineering,29378.0,ORPHAN,88.0695638
101229310,"Government College of Engineering,Yavatmal",Electrical Engineering,82073.0,GOBCH,61.2935921
101229310,"Government College of Engineering,Yavatmal",Electrical Engineering,60840.0,GOPENH,73.2701208
101229310,"Government College of Engineering,Yavatmal",Electrical Engineering,84113.0,GSCH,59.9156802
101229310,"Government College of Engineering,Yavatmal",Electrical Engineering,80619.0,GVJH,61.6881259
101229310,"Government College of Engineering,Yavatmal",Electrical Engineering,77147.0,LOBCH,64.2666767
101229310,"Government College of Engineering,Yavatmal",Electrical Engineering,65328.0,LOPENH,71.1698646
101229310,"Government College of Engineering,Yavatmal",Electrical Engineering,71404.0,GOBCO,67.5703113
101229310,"Government College of Engineering,Yavatmal",Electrical Engineering,68470.0,GOPENO,69.3042857
101229310,"Government College of Engineering,Yavatmal",Electrical Engineering,75620.0,GSCO,65.107535
101229310,"Government College of Engineering,Yavatmal",Electrical Engineering,85978.0,LNT3O,58.7124464
101229310,"Government College of Engineering,Yavatmal",Electrical Engineering,72626.0,LSCO,66.9527897
101229310,"Government College of Engineering,Yavatmal",Electrical Engineering,97980.0,DEFOPENS,49.6513702
101237210,"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,59412.0,GOBCH,74.0797795
101237210,"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,53521.0,GOPENH,76.8406961
