Sr. No.,Institute Code,Institute Name,Status,Total Intake
1.0,1002,"Government College of Engineering, Amravati","Government, Autonomous",390
2.0,1005,"Sant Gadge Baba Amravati University,Amravati",University Department,60
3.0,1012,"Government College of Engineering,Yavatmal",Government,300
4.0,1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Un-Aided,360
5.0,1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati","Un-Aided, Autonomous",840
6.0,1107,"P. R. Pote Patil College of Engineering & Management, Amravati","Un-Aided, Autonomous",780
7.0,1114,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati","Un-Aided, Autonomous",600
8.0,1116,"Shri Shivaji Education Society's College of Engineering and Technology, Akola",Un-Aided,360
9.0,1117,"Janata Shikshan Prasarak Mandals Babasaheb Naik College Of Engineering, Pusad",Un-Aided,420
10.0,1119,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali",Un-Aided,285
11.0,1120,"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal","Un-Aided, Linguistic Minority - Hindi",330
12.0,1121,"Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology, Amravati",Un-Aided,240
13.0,1123,"Dr.Rajendra Gode Institute of Technology & Research, Amravati",Un-Aided,240
14.0,1125,"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshi Shahu College of Engineering, Buldhana",Un-Aided,240
15.0,1126,"Takshashila Institute of Engineering & Technology, Darapur, Amravati",Un-Aided,240
16.0,1127,"Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal","Un-Aided, Autonomous",330
17.0,1128,"Prof Ram Meghe College of Engineering and Management, Badnera",Un-Aided,480
18.0,1130,"Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon",Un-Aided,180
19.0,1180,"Sanmati Engineering College, Sawargaon Barde, Washim",Un-Aided,300
20.0,1182,"Padmashri Dr. V.B. Kolte College of Engineering, Malkapur, Buldhana",Un-Aided,240
21.0,1265,"Mauli Group of Institutions, College of Engineering and Technology, Shegaon.",Un-Aided,360
22.0,1268,"Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile ",Un-Aided,210
23.0,1276,"Manav School of Engineering & Technology, Gut No. 1035 Nagpur Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola, 444302",Un-Aided,108
24.0,2008,"Government College of Engineering, Chhatrapati Sambhajinagar","Government, Autonomous",360
25.0,2020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded","Government-Aided, Autonomous",610
26.0,2021,"University Department of Chemical Technology, Aurangabad",University Department,22
27.0,2032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna ","University Managed, Autonomous",60
28.0,2111,"Everest Education Society, Group of Institutions (Integrated Campus), Ohar","Un-Aided, Religious Minority - Muslim",330
29.0,2112,"Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Aurangabad",Un-Aided,600
30.0,2113,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad","Un-Aided, Autonomous",1110
31.0,2114,"Deogiri Institute of Engineering and Management Studies, Aurangabad",Un-Aided,540
32.0,2116,"Matoshri Pratishan's Group of Institutions (Integrated Campus), Kupsarwadi , Nanded",Un-Aided,300
33.0,2127,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.",Un-Aided,600
34.0,2129,"M.S. Bidve Engineering College, Latur",Un-Aided,540
35.0,2130,"Terna Public Charitable Trust's College of Engineering, Osmanabad",Un-Aided,300
36.0,2131,"Shree Tuljabhavani College of Engineering, Tuljapur",Un-Aided,240
37.0,2133,"Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai",Un-Aided,330
38.0,2134,"Peoples Education Society's College of Engineering, Aurangabad",Un-Aided,420
39.0,2135,"Hi-Tech Institute of Technology, Aurangabad",Un-Aided,360
40.0,2136,"Aditya Engineering College , Beed",Un-Aided,420
41.0,2137,"Nagnathappa Halge Engineering College, Parli, Beed",Un-Aided,240
42.0,2138,"Matsyodari Shikshan Sansatha's College of Engineering and Technology, Jalna",Un-Aided,240
43.0,2146,"Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Osmanabad",Un-Aided,150
44.0,2250,"Aurangabad College of Engineering, Naygaon Savangi, Aurangabad",Un-Aided,174
45.0,2252,"Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute of Engineering and Management Studies, Parbhani",Un-Aided,210
46.0,2254,"Vilasrao Deshmukh Foundation Group of Institutions, Latur",Un-Aided,360
47.0,2282,"Aditya Education Trust's Mitthulalji Sarada Polytechnic, Nalwandi Road, Beed",Un-Aided,360
48.0,2508,GRAMIN TECHNICAL AND MANAGEMENT CAMPUS NANDED.,Un-Aided,630
49.0,2516,International Centre Of Excellence In Engineering and Management (ICEEM),Un-Aided,270
50.0,2522,"STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.",Un-Aided,300
51.0,2533,"CSMSS Chh. Shahu College of Engineering, Aurangabad",Un-Aided,840
52.0,2637,"Jijau Institute of Engineering Technology and Management, Khandgaon (Bendri), Taluka Naigaon, District Nanded",Un-Aided,330
53.0,2641,Dr. V.K. Patil College of Engineering & Technology,Un-Aided,240
54.0,2666,Mangaldeep College of Engineering,Un-Aided,300
