Sr. No.	Institute Code	Institute Name	Status	Total Intake
1.	01002	Government College of Engineering, Amravati	Government, Autonomous	390
2.	01005	Sant Gadge Baba Amravati University,Amravati	University Department	60
3.	01012	Government College of Engineering,Yavatmal	Government	300
4.	01101	Shri Sant Gajanan Maharaj College of Engineering,Shegaon	Un-Aided	360
5.	01105	Prof. Ram Meghe Institute of Technology & Research, Amravati	Un-Aided, Autonomous	840
6.	01107	P. R. Pote Patil College of Engineering & Management, Amravati	Un-Aided, Autonomous	780
7.	01114	Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati	Un-Aided, Autonomous	600
8.	01116	Shri Shivaji Education Society's College of Engineering and Technology, Akola	Un-Aided	360
9.	01117	Janata Shikshan Prasarak Mandals Babasaheb Naik College Of Engineering, Pusad	Un-Aided	420
10.	01119	Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali	Un-Aided	285
11.	01120	Jawaharlal Darda Institute of Engineering and Technology, Yavatmal	Un-Aided, Linguistic Minority - Hindi	330
12.	01121	Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology, Amravati	Un-Aided	240
13.	01123	Dr.Rajendra Gode Institute of Technology & Research, Amravati	Un-Aided	240
14.	01125	Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshi Shahu College of Engineering, Buldhana	Un-Aided	240
15.	01126	Takshashila Institute of Engineering & Technology, Darapur, Amravati	Un-Aided	240
16.	01127	Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal	Un-Aided, Autonomous	330
17.	01128	Prof Ram Meghe College of Engineering and Management, Badnera	Un-Aided	480
18.	01130	Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon	Un-Aided	180
19.	01180	Sanmati Engineering College, Sawargaon Barde, Washim	Un-Aided	300
20.	01182	Padmashri Dr. V.B. Kolte College of Engineering, Malkapur, Buldhana	Un-Aided	240
21.	01265	Mauli Group of Institutions, College of Engineering and Technology, Shegaon.	Un-Aided	360
22.	01268	Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile 	Un-Aided	210
23.	01276	Manav School of Engineering & Technology, Gut No. 1035 Nagpur Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola, 444302	Un-Aided	108
24.	02008	Government College of Engineering, Chhatrapati Sambhajinagar	Government, Autonomous	360
25.	02020	Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded	Government-Aided, Autonomous	610
26.	02021	University Department of Chemical Technology, Aurangabad	University Department	22
27.	02032	Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna 	University Managed, Autonomous	60
28.	02111	Everest Education Society, Group of Institutions (Integrated Campus), Ohar	Un-Aided, Religious Minority - Muslim	330
29.	02112	Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Aurangabad	Un-Aided	600
30.	02113	G. S. Mandal's Maharashtra Institute of Technology, Aurangabad	Un-Aided, Autonomous	1110
31.	02114	Deogiri Institute of Engineering and Management Studies, Aurangabad	Un-Aided	540
32.	02116	Matoshri Pratishan's Group of Institutions (Integrated Campus), Kupsarwadi , Nanded	Un-Aided	300
33.	02127	Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.	Un-Aided	600
34.	02129	M.S. Bidve Engineering College, Latur	Un-Aided	540
35.	02130	Terna Public Charitable Trust's College of Engineering, Osmanabad	Un-Aided	300
36.	02131	Shree Tuljabhavani College of Engineering, Tuljapur	Un-Aided	240
37.	02133	Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai	Un-Aided	330
38.	02134	Peoples Education Society's College of Engineering, Aurangabad	Un-Aided	420
39.	02135	Hi-Tech Institute of Technology, Aurangabad	Un-Aided	360
40.	02136	Aditya Engineering College , Beed	Un-Aided	420
41.	02137	Nagnathappa Halge Engineering College, Parli, Beed	Un-Aided	240
42.	02138	Matsyodari Shikshan Sansatha's College of Engineering and Technology, Jalna	Un-Aided	240
43.	02146	Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Osmanabad	Un-Aided	150
44.	02250	Aurangabad College of Engineering, Naygaon Savangi, Aurangabad	Un-Aided	174
45.	02252	Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute of Engineering and Management Studies, Parbhani	Un-Aided	210
46.	02254	Vilasrao Deshmukh Foundation Group of Institutions, Latur	Un-Aided	360
47.	02282	Aditya Education Trust's Mitthulalji Sarada Polytechnic, Nalwandi Road, Beed	Un-Aided	360
48.	02508	GRAMIN TECHNICAL AND MANAGEMENT CAMPUS NANDED.	Un-Aided	630
49.	02516	International Centre Of Excellence In Engineering and Management (ICEEM)	Un-Aided	270
50.	02522	STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.	Un-Aided	300
51.	02533	CSMSS Chh. Shahu College of Engineering, Aurangabad	Un-Aided	840
52.	02637	Jijau Institute of Engineering Technology and Management, Khandgaon (Bendri), Taluka Naigaon, District Nanded	Un-Aided	330
53.	02641	Dr. V.K. Patil College of Engineering & Technology	Un-Aided	240
54.	02666	Mangaldeep College of Engineering	Un-Aided	300
55.	02758	Sant Eknath College of Engineering	Un-Aided	300
56.	03012	Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai	Government-Aided, Autonomous	540
57.	03014	Sardar Patel College of Engineering, Andheri	Government-Aided, Autonomous	180
