collegeid,college name,merit number,seat type,percentile
414419110,4144,55110,AI,14.4737069
413361210,4133,55142,AI,14.3887031
626937210,6269,55207,AI,14.1775905
111937210,1119,55385,AI,13.8627377
622029310,6220,55468,AI,13.8310894
414529310,4145,55518,AI,13.7056450
344724510,3447,55530,AI,13.6913123
252219110,2522,55668,AI,13.3039141
213329310,2133,55774,AI,13.0211387
664329310,6643,55886,AI,12.8482729
112089310,1120,56010,AI,12.7034560
675724210,6757,56110,AI,12.4911362
419724210,4197,56152,AI,12.3064198
118219110,1182,56173,AI,12.3064198
417537210,4175,56185,AI,12.2175502
413337210,4133,56198,AI,12.1619475
629361210,6293,56203,AI,12.1619475
675719110,6757,56235,AI,12.1500505
517137210,5171,56339,AI,11.9520988
616061210,6160,56366,AI,11.7911557
631524210,6315,56462,AI,11.5576072
418861210,4188,56469,AI,11.5023382
250829310,2508,56629,AI,11.0622529
461329310,4613,56683,AI,11.0052025
419729310,4197,56752,AI,10.8906368
621929310,6219,56822,AI,10.6727294
412319110,4123,56899,AI,10.4590534
428519110,4285,56934,AI,10.3307321
626990010,6269,56940,AI,10.3074282
118261210,1182,57111,AI,9.8658574
212919110,2129,57134,AI,9.7435897
618561210,6185,57256,AI,9.4426762
253329310,2533,57387,AI,9.0875152
415129310,4151,57551,AI,8.6534237
344024510,3440,57619,AI,8.5560542
540126310,5401,57642,AI,8.5210474
112637210,1126,57656,AI,8.4987516
213729710,2137,57708,AI,8.3710836
344019110,3440,57747,AI,8.2177860
112737210,1127,57838,AI,8.0429454
415108210,4151,57866,AI,8.0054202
510319110,5103,57884,AI,8.0037243
213661210,2136,57905,AI,7.9762519
413529310,4135,57908,AI,7.9762519
335161210,3351,57934,AI,7.8783251
512419110,5124,57936,AI,7.8783251
118024210,1180,57974,AI,7.8299261
118026310,1180,57978,AI,7.8299261
416329310,4163,58012,AI,7.7617079
628350310,6283,58043,AI,7.6681531
118019110,1180,58052,AI,7.5787588
414561210,4145,58057,AI,7.5653886
515161210,5151,58062,AI,7.5577007
111461210,1114,58102,AI,7.3385457
418124510,4181,58114,AI,7.2915425
111735610,1117,58164,AI,7.0416221
211419110,2114,58223,AI,6.8693906
530384410,5303,58278,AI,6.6911650
322361210,3223,58326,AI,6.6312874
646624210,6466,58367,AI,6.4857348
627519110,6275,58402,AI,6.3411905
321637210,3216,58405,AI,6.3196514
112729310,1127,58417,AI,6.2588365
625061210,6250,58543,AI,5.9098194
212937610,2129,58692,AI,5.4841096
126835610,1268,58712,AI,5.4369547
418837210,4188,58797,AI,5.1467856
321961210,3219,58817,AI,5.1086482
112619110,1126,58874,AI,4.9000891
347161210,3471,58885,AI,4.8804203
419061210,4190,58920,AI,4.7654978
213061210,2130,58931,AI,4.7479938
630337210,6303,58951,AI,4.7460204
419361210,4193,58993,AI,4.7049047
319661210,3196,59001,AI,4.6488294
213624210,2136,59013,AI,4.5803043
430219110,4302,59032,AI,4.5382643
533129310,5331,59034,AI,4.5382643
342319110,3423,59038,AI,4.5382643
516219110,5162,59088,AI,4.4265313
510929310,5109,59191,AI,4.0623731
626861210,6268,59224,AI,3.8923505
419029310,4190,59241,AI,3.8452063
516419110,5164,59253,AI,3.8263090
632637210,6326,59312,AI,3.6919361
213591110,2135,59324,AI,3.6466775
676261210,6762,59405,AI,3.3951289
413561210,4135,59465,AI,3.1650848
418819110,4188,59489,AI,3.0708855
428561210,4285,59517,AI,3.0182367
515219110,5152,59518,AI,3.0182367
673261210,6732,59557,AI,2.8728014
627719110,6277,59629,AI,2.6408800
678261210,6782,59648,AI,2.5798958
414429310,4144,59657,AI,2.5798958
621761210,6217,59717,AI,2.3580275
411819110,4118,59791,AI,2.0749772
211319110,2113,59807,AI,2.0026749
111619110,1116,59838,AI,1.8704579
512119110,5121,59843,AI,1.8632959
112061210,1120,59879,AI,1.7310942
622061210,6220,59955,AI,1.4304651
419019110,4190,59962,AI,1.4078075
319062410,3190,60009,AI,1.2576933
112819110,1128,60022,AI,1.2263621
419291110,4192,60038,AI,1.1877806
418870110,4188,60067,AI,1.0484095
679761210,6797,60071,AI,1.0330732
419619110,4196,60076,AI,1.0319332
213619110,2136,60093,AI,0.9904060
414519110,4145,60117,AI,0.8776165
112361210,1123,60131,AI,0.8236513
414329310,4143,60160,AI,0.7009253
417719110,4177,60179,AI,0.6511333
419219110,4192,60182,AI,0.6465998
213724210,2137,60190,AI,0.6170322
418829310,4188,60204,AI,0.5632396
517129310,5171,60222,AI,0.4689817
419329310,4193,60225,AI,0.4645472
626819110,6268,60226,AI,0.4645472
517961210,5179,60270,AI,0.2986600
419037010,4190,60285,AI,0.2569337
516019110,5160,60292,AI,0.2294007
410429310,4104,60294,AI,0.2284193
413429310,4134,60302,AI,0.2066934
213519110,2135,60307,AI,0.2043850
663461210,6634,60319,AI,0.1566240
211461210,2114,60325,AI,0.1396345
413329310,4133,60326,AI,0.1327297
616019110,6160,60333,AI,0.1139624
419261210,4192,60346,AI,0.0688978
517029310,5170,63200,AI,92.2870170
632237210,6322,65601,AI,88.6640070
319061210,3190,70368,AI,82.6809987
314661210,3146,72793,AI,80.0233531
541137210,5411,73270,AI,79.5309168
617919110,6179,74416,AI,78.1473584
113035610,1130,74943,AI,77.6049916
617861210,6178,75156,AI,77.0895594
344524510,3445,76409,AI,75.7886771
319419110,3194,76507,AI,75.6738800
418850310,4188,77240,AI,74.9700023
627019110,6270,77706,AI,74.5106403
