Id,College Name,Course,DEFOBCS,DEFOPENS,DEFRNT1S,DEFRNT2S,DEFRNT3S,DEFROBCS,DEFRSCS,DEFRVJS,DEFSCS,EWS,GNT1H,GNT1O,GNT1S,GNT2H,GNT2O,GNT2S,GNT3H,GNT3O,GNT3S,GOBCH,GOBCO,GOBCS,GOPENH,GOPENO,GOPENS,GSCH,GSCO,GSCS,GSTH,GSTO,GSTS,GVJH,GVJO,GVJS,LNT1H,LNT1O,LNT1S,LNT2H,LNT2O,LNT2S,LNT3H,LNT3O,LNT3S,LOBCH,LOBCO,LOBCS,LOPENH,LOPENO,LOPENS,LSCH,LSCO,LSCS,LSTH,LSTO,LSTS,LVJH,LVJO,LVJS,MI,ORPHAN,PWDOBCH,PWDOBCS,PWDOPENH,PWDOPENS,PWDRNT1S,PWDRNT2H,PWDROBC,PWDRSCH,PWDRSCS,PWDRVJS,TFWS,DEFOBCS_Percentile,DEFOPENS_Percentile,DEFRNT1S_Percentile,DEFRNT2S_Percentile,DEFRNT3S_Percentile,DEFROBCS_Percentile,DEFRSCS_Percentile,DEFRVJS_Percentile,DEFSCS_Percentile,EWS_Percentile,GNT1H_Percentile,GNT1O_Percentile,GNT1S_Percentile,GNT2H_Percentile,GNT2O_Percentile,GNT2S_Percentile,GNT3H_Percentile,GNT3O_Percentile,GNT3S_Percentile,GOBCH_Percentile,GOBCO_Percentile,GOBCS_Percentile,GOPENH_Percentile,GOPENO_Percentile,GOPENS_Percentile,GSCH_Percentile,GSCO_Percentile,GSCS_Percentile,GSTH_Percentile,GSTO_Percentile,GSTS_Percentile,GVJH_Percentile,GVJO_Percentile,GVJS_Percentile,LNT1H_Percentile,LNT1O_Percentile,LNT1S_Percentile,LNT2H_Percentile,LNT2O_Percentile,LNT2S_Percentile,LNT3H_Percentile,LNT3O_Percentile,LNT3S_Percentile,LOBCH_Percentile,LOBCO_Percentile,LOBCS_Percentile,LOPENH_Percentile,LOPENO_Percentile,LOPENS_Percentile,LSCH_Percentile,LSCO_Percentile,LSCS_Percentile,LSTH_Percentile,LSTO_Percentile,LSTS_Percentile,LVJH_Percentile,LVJO_Percentile,LVJS_Percentile,MI_Percentile,ORPHAN_Percentile,PWDOBCH_Percentile,PWDOBCS_Percentile,PWDOPENH_Percentile,PWDOPENS_Percentile,PWDRNT1S_Percentile,PWDRNT2H_Percentile,PWDROBC_Percentile,PWDRSCH_Percentile,PWDRSCS_Percentile,PWDRVJS_Percentile,TFWS_Percentile
100219110,"Government College of Engineering, Amravati",Civil Engineering,,35039,,,,36639,,,,14097,,,17926,,,22831,,,14822,,,14638,,,12517,,,22798,,,48088,,,17483,,,,,,22621,,,,,,18303,,,14417,,,25506,,,40879,,,17255,,,,,,,,,,,,,9631,,74.9575984,,,,73.6301086,,,,90.2594711,,,87.6624335,,,84.2493575,,,89.7621859,,,89.9196224,,,91.3415875,,,84.2602308,,,63.3581594,,,87.9217442,,,,,,84.3927894,,,,,,87.3840445,,,90.0695387,,,82.2834325,,,69.9557928,,,88.0330608,,,,,,,,,,,,,93.2823354
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,,12165,,,,16708,,,,5821,,,7607,,,8402,,,9385,,,4671,,,4109,,,10315,,,32442,,,13537,,,13863,,,7216,,,,,,4383,,,3952,,,12391,,,33669,,,,,,,,,36709,,,,,38936,,3662,,91.6109073,,,,88.4109521,,,,95.8628743,,,94.6397551,,,94.1406568,,,93.4329366,,,96.6672320,,,97.0744031,,,92.8124325,,,77.0956710,,,90.6611986,,,90.4245783,,,94.9183454,,,,,,96.8684055,,,97.1839425,,,91.4171324,,,76.0780716,,,,,,,,,73.5473882,,,,,71.8029172,,97.3804195
100224610,"Government College of Engineering, Amravati",Information Technology,,19427,,,,20732,,,,7351,,,10163,,,11149,,,,,,6851,,,6194,,,16108,,,38361,,,13931,,,,,,,,,26192,,,7926,,,6948,,,15699,,,28410,,,28682,,,,,,,,,,,,,5502,,86.5591398,,,,85.6811978,,,,94.8341352,,,92.9287905,,,92.2656961,,,,,,95.1892808,,,95.6569405,,,88.8954519,,,72.1185753,,,90.4090372,,,,,,,,,81.7441493,,,94.4503300,,,95.1087873,,,89.1321551,,,80.1315568,,,79.8733843,,,,,,,,,,,,,96.0788546
100229310,"Government College of Engineering, Amravati",Electrical Engineering,,48882,,,,,66643,,,13448,,,23935,,,16140,,,33764,,,15448,,,13652,,,20262,,,58904,,,19003,,,16635,,,24621,,,,,,16892,,,15527,,,20627,,,22693,,,,,,,,,,,,,,,,9912,,62.4154511,,,,,40.4705684,,,90.7043709,,,83.3518788,,,88.8697029,,,76.0194676,,,89.3805310,,,90.5613976,,,86.0897815,,,50.9892798,,,86.8987954,,,88.5203005,,,82.8976219,,,,,,88.3791533,,,89.2895631,,,85.7210626,,,84.3283582,,,,,,,,,,,,,,,,93.0987166
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,,28266,,,,,53649,,,10882,,,14870,,,13855,,,28497,,,11529,,,10626,,,21248,,,56884,,,32694,,,,,,,,,,,,13435,,,11257,,,26749,,,50427,,,19954,,,,,,,,,,,,,9087,,80.1984396,,,,,57.1344296,,,92.4692191,,,89.7563361,,,90.4334828,,,80.0678416,,,92.0251836,,,92.6253687,,,85.3020240,,,53.3681417,,,76.9393095,,,,,,,,,,,,90.7071209,,,92.1824928,,,81.3066034,,,61.0135990,,,86.2025102,,,,,,,,,,,,,93.6748736
100246610,"Government College of Engineering, Amravati",Instrumentation Engineering,,,,,,,,,,18097,,,,,,,,,28873,,,22155,,,21366,,,41215,,,,,,82782,,,,,,28439,,,,,,21611,,,21097,,,44474,,,,,,,,,,,,,,,,,,,17283,,,,,,,,,,87.5820367,,,,,,,,,79.7814663,,,84.7039355,,,85.2504638,,,69.7947431,,,,,,13.2928186,,,,,,80.1092735,,,,,,85.0534693,,,85.4489429,,,66.7004305,,,,,,,,,,,,,,,,,,,88.0223538
100261210,"Government College of Engineering, Amravati",Mechanical Engineering,,9353,,,,14806,,,,,,,14771,,,15415,,,,,,12848,,,11560,,,19399,,,44560,,,16552,,,56398,,,,,,24550,,,84117,,,21613,,,31556,,,65740,,,57809,,,,,,29476,,,,,,,74823,,93.4933615,,,,89.7828190,,,,,,,89.7888364,,,89.3902744,,,,,,91.1409741,,,91.9632316,,,86.5622150,,,66.7004305,,,88.6194030,,,54.1568222,,,,,,82.9518606,,,10.4473963,,,85.0534693,,,77.7731822,,,41.8722328,,,52.4564184,,,,,,79.4521710,,,,,,,28.1674686
100550310,"Sant Gadge Baba Amravati University,Amravati",Food Technology,,,,,,,,,,,,,,,,,,,,39782,,,36956,,,60774,,,58996,,,,,,,,,,,,,,,36676,,,23296,,,43826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0406477,,,73.4421146,,,48.7595983,,,50.8064516,,,,,,,,,,,,,,,73.6301086,,,83.9184061,,,67.4741077,,,,,,,,,,,,,,,,,,,,,
100550310,"Sant Gadge Baba Amravati University,Amravati",Food Technology,,,,,,,,,,,,,,,,,,,,,24968,,,13415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.7013610,,,90.7071209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100550310,"Sant Gadge Baba Amravati University,Amravati",Food Technology,,,,,,,,,,50606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17216,,,,,,,,,,60.5779320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0387129
