collegeid,college name,course,merit number,seat type,percentile
100219110,"Government College of Engineering, Amravati",Civil Engineering,35039.0,DEFOPENS,74.9575984
100219110,"Government College of Engineering, Amravati",Civil Engineering,36639.0,DEFROBCS,73.6301086
100219110,"Government College of Engineering, Amravati",Civil Engineering,14097.0,EWS,90.2594711
100219110,"Government College of Engineering, Amravati",Civil Engineering,17926.0,GNT1S,87.6624335
100219110,"Government College of Engineering, Amravati",Civil Engineering,22831.0,GNT2S,84.2493575
100219110,"Government College of Engineering, Amravati",Civil Engineering,14822.0,GNT3S,89.7621859
100219110,"Government College of Engineering, Amravati",Civil Engineering,14638.0,GOBCS,89.9196224
100219110,"Government College of Engineering, Amravati",Civil Engineering,12517.0,GOPENS,91.3415875
100219110,"Government College of Engineering, Amravati",Civil Engineering,22798.0,GSCS,84.2602308
100219110,"Government College of Engineering, Amravati",Civil Engineering,48088.0,GSTS,63.3581594
100219110,"Government College of Engineering, Amravati",Civil Engineering,17483.0,GVJS,87.9217442
100219110,"Government College of Engineering, Amravati",Civil Engineering,22621.0,LNT2S,84.3927894
100219110,"Government College of Engineering, Amravati",Civil Engineering,18303.0,LOBCS,87.3840445
100219110,"Government College of Engineering, Amravati",Civil Engineering,14417.0,LOPENS,90.0695387
100219110,"Government College of Engineering, Amravati",Civil Engineering,25506.0,LSCS,82.2834325
100219110,"Government College of Engineering, Amravati",Civil Engineering,40879.0,LSTS,69.9557928
100219110,"Government College of Engineering, Amravati",Civil Engineering,17255.0,LVJS,88.0330608
100219110,"Government College of Engineering, Amravati",Civil Engineering,9631.0,TFWS,93.2823354
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,12165.0,DEFOPENS,91.6109073
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,16708.0,DEFROBCS,88.4109521
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,5821.0,EWS,95.8628743
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,7607.0,GNT1S,94.6397551
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,8402.0,GNT2S,94.1406568
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,9385.0,GNT3S,93.4329366
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,4671.0,GOBCS,96.667232
