Id,College Name,Course,DEFOBCS,DEFOPENS,DEFRNT1S,DEFRNT2S,DEFRNT3S,DEFROBCS,DEFRSCS,DEFRVJS,DEFSCS,EWS,GNT1H,GNT1O,GNT1S,GNT2H,GNT2O,GNT2S,GNT3H,GNT3O,GNT3S,GOBCH,GOBCO,GOBCS,GOPENH,GOPENO,GOPENS,GSCH,GSCO,GSCS,GSTH,GSTO,GSTS,GVJH,GVJO,GVJS,LNT1H,LNT1O,LNT1S,LNT2H,LNT2O,LNT2S,LNT3H,LNT3O,LNT3S,LOBCH,LOBCO,LOBCS,LOPENH,LOPENO,LOPENS,LSCH,LSCO,LSCS,LSTH,LSTO,LSTS,LVJH,LVJO,LVJS,MI,ORPHAN,PWDOBCH,PWDOBCS,PWDOPENH,PWDOPENS,PWDRNT1S,PWDRNT2H,PWDRNT2S,PWDROBC,PWDRSCH,PWDRSCS,PWDRVJH,PWDRVJS,PWDSCH,PWDSCS,TFWS
100219110,"Government College of Engineering, Amravati",Civil Engineering,40678,55830,86718,45691,41586,51711,49334,46967,30535,50420,79098,40679,72814,41709,88218,19635,98060,52672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,6412,9920,41139,17056,7766,9524,10818,6904,4603,8998,32400,15893,7378,14019,6218,79110,15876,4763,79305,23301,7872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100224610,"Government College of Engineering, Amravati",Information Technology,8456,13932,44445,16510,9228,9942,20505,8735,8400,14435,31172,21744,17754,9179,80636,24544,7435,93664,28236,9683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100229310,"Government College of Engineering, Amravati",Electrical Engineering,26610,35923,80097,48372,27089,36467,39928,30649,26549,29692,48168,40479,28122,25800,54377,78548,18803,110745,35192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,15492,22933,64864,28519,20509,19466,26282,15967,14248,22745,102922,44740,20321,27605,13964,100795,30393,11631,104414,41669,16352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100246610,"Government College of Engineering, Amravati",Instrumentation Engineering,49414,65659,112169,74875,52428,46383,64077,48202,113852,30615,51690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100261210,"Government College of Engineering, Amravati",Mechanical Engineering,34421,42806,109621,48115,47757,43267,63985,39664,40195,61058,97556,81559,54000,42993,64866,21335,49115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100550310,"Sant Gadge Baba Amravati University,Amravati",Food Technology,56459,89272,64230,100270,56723,24039,46268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100550310,"Sant Gadge Baba Amravati University,Amravati",Food Technology,41991,46499,57201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100550310,"Sant Gadge Baba Amravati University,Amravati",Food Technology,34335,107964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100551710,"Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,77244,84752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100551710,"Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,113264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100551710,"Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,108178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100551710,"Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,48609,96766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100552710,"Sant Gadge Baba Amravati University,Amravati",Petro Chemical Engineering,110078,89462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100552710,"Sant Gadge Baba Amravati University,Amravati",Petro Chemical Engineering,67801,76951,103538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100552710,"Sant Gadge Baba Amravati University,Amravati",Petro Chemical Engineering,47762,110780,77606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100552710,"Sant Gadge Baba Amravati University,Amravati",Petro Chemical Engineering,115429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101219110,"Government College of Engineering,Yavatmal",Civil Engineering,72032,107302,114482,85649,82211,83614,85512,68900,75744,80795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101219110,"Government College of Engineering,Yavatmal",Civil Engineering,103344,79917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101219110,"Government College of Engineering,Yavatmal",Civil Engineering,71840,79705,102216,75155,91336,101205,74172,85052,109364,87000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101219110,"Government College of Engineering,Yavatmal",Civil Engineering,56874,97934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101224510,"Government College of Engineering,Yavatmal",Computer Engineering,24879,32136,79961,25236,29891,29197,32709,26900,19777,40577,47880,22081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101224510,"Government College of Engineering,Yavatmal",Computer Engineering,118588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101224510,"Government College of Engineering,Yavatmal",Computer Engineering,16974,20041,68909,17475,28088,17108,12513,21545,18498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101224510,"Government College of Engineering,Yavatmal",Computer Engineering,48009,10149,74646,24163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101229310,"Government College of Engineering,Yavatmal",Electrical Engineering,59291,89956,95997,67364,84691,64003,72385,66703,50247,87804,55708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101229310,"Government College of Engineering,Yavatmal",Electrical Engineering,114955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101229310,"Government College of Engineering,Yavatmal",Electrical Engineering,44899,51672,105465,71131,75707,87356,51215,41803,48397,42271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101229310,"Government College of Engineering,Yavatmal",Electrical Engineering,117538,44044,71061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101237210,"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,41714,63707,66207,51553,50917,68536,47845,39093,53982,41348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101237210,"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,93826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101237210,"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,32850,39550,82212,62004,78475,44313,33370,25216,36376,28138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101237210,"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,101980,25137,102806,44532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101261210,"Government College of Engineering,Yavatmal",Mechanical Engineering,70771,100838,120495,72461,92687,95363,108413,84149,96418,108877,102356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101261210,"Government College of Engineering,Yavatmal",Mechanical Engineering,46795,52550,91577,105330,60490,74869,75442,87613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101261210,"Government College of Engineering,Yavatmal",Mechanical Engineering,48386,59474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110124210,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Computer Science and Engineering,12653,24489,78818,17131,23940,14360,37293,13209,11883,24257,66270,14266,80456,101332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110124210,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Computer Science and Engineering,13547,22196,56586,21003,15100,10664,14680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110124210,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Computer Science and Engineering,32925,7999,15503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110124610,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,17463,29839,90296,29028,23665,20024,18077,15723,29888,79743,16467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110124610,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,18651,24711,120788,42054,18791,16680,17345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110124610,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,39397,11297,19337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110135610,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electrical Engg[Electronics and Power],50928,77561,85885,54512,74419,57119,41887,62884,92091,53928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110135610,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electrical Engg[Electronics and Power],56116,90229,56621,43387,70997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110135610,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electrical Engg[Electronics and Power],87220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110135610,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electrical Engg[Electronics and Power],22778,74048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110137210,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and Telecommunication Engg,31271,49984,34244,35746,43494,48023,34248,24097,59968,120331,25084,31577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110137210,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and Telecommunication Engg,30212,50173,48382,34049,95386,31938,27348,61316,32286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110137210,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and Telecommunication Engg,52873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110137210,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and Telecommunication Engg,90969,21727,45586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110161210,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Mechanical Engineering,64420,106848,77632,85930,72666,106100,75284,68056,76382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110161210,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Mechanical Engineering,96842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110161210,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Mechanical Engineering,84338,88642,66377,92852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110161210,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Mechanical Engineering,79375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110161210,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Mechanical Engineering,45494,93002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110519110,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Civil Engineering,97172,120452,117791,101452,109625,107388,107447,81835,112351,103954,103451,99515,99215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110519110,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Civil Engineering,116713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110519110,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Civil Engineering,96617,116047,105965,106719,105959,107498,91157,114147,104794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
