Id,College Name,Course,DEFOBCS,DEFOPENS,DEFRNT1S,DEFRNT2S,DEFRNT3S,DEFROBCS,DEFRSCS,DEFRVJS,DEFSCS,EWS,GNT1H,GNT1O,GNT1S,GNT2H,GNT2O,GNT2S,GNT3H,GNT3O,GNT3S,GOBCH,GOBCO,GOBCS,GOPENH,GOPENO,GOPENS,GSCH,GSCO,GSCS,GSTH,GSTO,GSTS,GVJH,GVJO,GVJS,LNT1H,LNT1O,LNT1S,LNT2H,LNT2O,LNT2S,LNT3H,LNT3O,LNT3S,LOBCH,LOBCO,LOBCS,LOPENH,LOPENO,LOPENS,LSCH,LSCO,LSCS,LSTH,LSTO,LSTS,LVJH,LVJO,LVJS,MI,ORPHAN,PWDOBCH,PWDOBCS,PWDOPENH,PWDOPENS,PWDRNT1S,PWDRNT2H,PWDRNT2S,PWDROBC,PWDRSCH,PWDRSCS,PWDRVJH,PWDRVJS,PWDSCH,PWDSCS,TFWS
100219110,"Government College of Engineering, Amravati",Civil Engineering,,88218,,,,98060,,,,52672,,,41586,,,51711,,,49334,,,46967,,,40678,,,55830,,,86718,,,45691,,,,,,72814,,,,,,41709,,,30535,,,50420,,,79098,,,40679,,,,,,,,,,,,,,,,,19635
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,,15876,,,,,23301,,,7872,,,7766,,,9524,,,10818,,,6904,,,6412,,,9920,,,41139,,,17056,,,7378,,,14019,,,,,,6218,,,4603,,,8998,,,32400,,,15893,,,,,,79110,,,,79305,,,,,,,4763
100224610,"Government College of Engineering, Amravati",Information Technology,,24544,,,,28236,,,,9683,,,9228,,,9942,,,20505,,,8735,,,8456,,,13932,,,44445,,,16510,,,21744,,,17754,,,,,,9179,,,8400,,,14435,,,31172,,,,,,,,,80636,,,,93664,,,,,,,7435
100229310,"Government College of Engineering, Amravati",Electrical Engineering,,78548,,,,110745,,,,35192,,,27089,,,36467,,,39928,,,30649,,,26610,,,35923,,,80097,,,48372,,,,,,28122,,,,,,25800,,,26549,,,29692,,,48168,,,40479,,,,,,54377,,,,,,,,,,,18803
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,,30393,,,,41669,,,,16352,,,20509,,,19466,,,26282,,,15967,,,15492,,,22933,,,64864,,,28519,,,20321,,,27605,,,,,,13964,,,14248,,,22745,,,102922,,,44740,,,,,,100795,,,,104414,,,,,,,11631
100246610,"Government College of Engineering, Amravati",Instrumentation Engineering,,113852,,,,,,,,51690,,,,,,74875,,,,,,52428,,,49414,,,65659,,,112169,,,,,,,,,,,,,,,48202,,,46383,,,64077,,,,,,,,,,,,,,,,,,,,,,,30615
100261210,"Government College of Engineering, Amravati",Mechanical Engineering,,64866,,,,,,,,49115,,,47757,,,43267,,,63985,,,39664,,,34421,,,42806,,,109621,,,48115,,,81559,,,54000,,,,,,42993,,,40195,,,61058,,,97556,,,,,,,,,,,,,,,,,,,,21335
100550310,"Sant Gadge Baba Amravati University,Amravati",Food Technology,,,,,,,,,,,100270,,,,,,,,,56723,,,56459,,,89272,,,,,,64230,,,,,,,,,,,,46268,,,24039,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100550310,"Sant Gadge Baba Amravati University,Amravati",Food Technology,,,,,,,,,,,,,,,,,,,,,57201,,,41991,,,46499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100550310,"Sant Gadge Baba Amravati University,Amravati",Food Technology,,,,,,,,,,107964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34335
