Id,College Name,Course,DEFOBCS,DEFOPENS,DEFRNT1S,DEFRNT2S,DEFRNT3S,DEFROBCS,DEFRSCS,DEFRVJS,DEFSCS,EWS,GNT1H,GNT1O,GNT1S,GNT2H,GNT2O,GNT2S,GNT3H,GNT3O,GNT3S,GOBCH,GOBCO,GOBCS,GOPENH,GOPENO,GOPENS,GSCH,GSCO,GSCS,GSTH,GSTO,GSTS,GVJH,GVJO,GVJS,LNT1H,LNT1O,LNT1S,LNT2H,LNT2O,LNT2S,LNT3H,LNT3O,LNT3S,LOBCH,LOBCO,LOBCS,LOPENH,LOPENO,LOPENS,LSCH,LSCO,LSCS,LSTH,LSTO,LSTS,LVJH,LVJO,LVJS,MI,ORPHAN,PWDOBCH,PWDOBCS,PWDOPENH,PWDOPENS,PWDRNT1S,PWDRNT2H,PWDRNT2S,PWDROBC,PWDRSCH,PWDRSCS,PWDRVJH,PWDRVJS,PWDSCH,PWDSCS,TFWS,DEFOBCS_Percentile,DEFOPENS_Percentile,DEFRNT1S_Percentile,DEFRNT2S_Percentile,DEFRNT3S_Percentile,DEFROBCS_Percentile,DEFRSCS_Percentile,DEFRVJS_Percentile,DEFSCS_Percentile,EWS_Percentile,GNT1H_Percentile,GNT1O_Percentile,GNT1S_Percentile,GNT2H_Percentile,GNT2O_Percentile,GNT2S_Percentile,GNT3H_Percentile,GNT3O_Percentile,GNT3S_Percentile,GOBCH_Percentile,GOBCO_Percentile,GOBCS_Percentile,GOPENH_Percentile,GOPENO_Percentile,GOPENS_Percentile,GSCH_Percentile,GSCO_Percentile,GSCS_Percentile,GSTH_Percentile,GSTO_Percentile,GSTS_Percentile,GVJH_Percentile,GVJO_Percentile,GVJS_Percentile,LNT1H_Percentile,LNT1O_Percentile,LNT1S_Percentile,LNT2H_Percentile,LNT2O_Percentile,LNT2S_Percentile,LNT3H_Percentile,LNT3O_Percentile,LNT3S_Percentile,LOBCH_Percentile,LOBCO_Percentile,LOBCS_Percentile,LOPENH_Percentile,LOPENO_Percentile,LOPENS_Percentile,LSCH_Percentile,LSCO_Percentile,LSCS_Percentile,LSTH_Percentile,LSTO_Percentile,LSTS_Percentile,LVJH_Percentile,LVJO_Percentile,LVJS_Percentile,MI_Percentile,ORPHAN_Percentile,PWDOBCH_Percentile,PWDOBCS_Percentile,PWDOPENH_Percentile,PWDOPENS_Percentile,PWDRNT1S_Percentile,PWDRNT2H_Percentile,PWDRNT2S_Percentile,PWDROBC_Percentile,PWDRSCH_Percentile,PWDRSCS_Percentile,PWDRVJH_Percentile,PWDRVJS_Percentile,PWDSCH_Percentile,PWDSCS_Percentile,TFWS_Percentile
100219110,"Government College of Engineering, Amravati",Civil Engineering,,88218,,,,98060,,,,52672,,,41586,,,51711,,,49334,,,46967,,,40678,,,55830,,,86718,,,45691,,,,,,72814,,,,,,41709,,,30535,,,50420,,,79098,,,40679,,,,,,,,,,,,,,,,,19635,,42.7946749,,,,32.4992712,,,,70.2135829,,,77.0666918,,,70.9263207,,,72.5765063,,,74.0962113,,,77.8495773,,,68.2985361,,,43.3167495,,,74.5106403,,,,,,55.8902921,,,,,,77.0666918,,,83.4045178,,,71.6451268,,,50.9996691,,,77.8495773,,,,,,,,,,,,,,,,,89.4077610
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,,15876,,,,,23301,,,7872,,,7766,,,9524,,,10818,,,6904,,,6412,,,9920,,,41139,,,17056,,,7378,,,14019,,,,,,6218,,,4603,,,8998,,,32400,,,15893,,,,,,79110,,,,79305,,,,,,,4763,,91.4761117,,,,,87.4346052,,,95.7059576,,,95.7384206,,,94.8196814,,,94.1471246,,,96.1905225,,,96.4453291,,,94.6469248,,,77.1458362,,,90.8078665,,,95.9513400,,,92.4735769,,,,,,96.5320687,,,97.3751017,,,95.1073753,,,82.4244430,,,91.4761117,,,,,,50.9996691,,,,50.8162490,,,,,,,97.3134328
100224610,"Government College of Engineering, Amravati",Information Technology,,24544,,,,28236,,,,9683,,,9228,,,9942,,,20505,,,8735,,,8456,,,13932,,,44445,,,16510,,,21744,,,17754,,,,,,9179,,,8400,,,14435,,,31172,,,,,,,,,80636,,,,93664,,,,,,,7435,,86.8356112,,,,84.8614274,,,,94.7015776,,,94.9538024,,,94.6205981,,,88.9823699,,,95.2545256,,,95.3393686,,,92.5142196,,,75.4846987,,,91.1038771,,,88.2761636,,,90.4382847,,,,,,94.9790794,,,95.3875689,,,92.2302228,,,83.1650789,,,,,,,,,49.0525702,,,,37.5478565,,,,,,,95.9209717
100229310,"Government College of Engineering, Amravati",Electrical Engineering,,78548,,,,110745,,,,35192,,,27089,,,36467,,,39928,,,30649,,,26610,,,35923,,,80097,,,48372,,,,,,28122,,,,,,25800,,,26549,,,29692,,,48168,,,40479,,,,,,54377,,,,,,,,,,,18803,,51.2359011,,,,18.3037194,,,,80.8718313,,,85.4043578,,,80.2656546,,,78.1473584,,,83.3246679,,,85.6827453,,,80.5336015,,,49.5565410,,,72.8897104,,,,,,84.8685155,,,,,,86.1713847,,,85.6913808,,,84.0382056,,,72.8974176,,,77.9458986,,,,,,69.1685966,,,,,,,,,,,89.9192371
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,,30393,,,,41669,,,,16352,,,20509,,,19466,,,26282,,,15967,,,15492,,,22933,,,64864,,,28519,,,20321,,,27605,,,,,,13964,,,14248,,,22745,,,102922,,,44740,,,,,,100795,,,,104414,,,,,,,11631,,83.4474115,,,,77.0666918,,,,91.1864731,,,88.9823699,,,89.5056923,,,85.8374792,,,91.4536974,,,91.6047864,,,87.6299679,,,61.8814494,,,84.6390824,,,89.0594645,,,85.0225065,,,,,,92.4845102,,,92.3335702,,,87.7973797,,,27.3337429,,,75.3508645,,,,,,29.3528763,,,,25.8381109,,,,,,,93.7141189
100246610,"Government College of Engineering, Amravati",Instrumentation Engineering,,113852,,,,,,,,51690,,,,,,74875,,,,,,52428,,,49414,,,65659,,,112169,,,,,,,,,,,,,,,48202,,,46383,,,64077,,,,,,,,,,,,,,,,,,,,,,,30615,,14.2210761,,,,,,,,70.9370842,,,,,,54.1664697,,,,,,70.7220669,,,72.5765063,,,61.4673542,,,16.5730741,,,,,,,,,,,,,,,72.8974176,,,74.2012741,,,62.3799839,,,,,,,,,,,,,,,,,,,,,,,83.3246679
100261210,"Government College of Engineering, Amravati",Mechanical Engineering,,64866,,,,,,,,49115,,,47757,,,43267,,,63985,,,39664,,,34421,,,42806,,,109621,,,48115,,,81559,,,54000,,,,,,42993,,,40195,,,61058,,,97556,,,,,,,,,,,,,,,,,,,,21335,,61.8814494,,,,,,,,72.6414198,,,73.2440997,,,75.8471965,,,62.3799839,,,78.2814198,,,81.4005843,,,76.4889836,,,19.4998540,,,72.8974176,,,48.7700838,,,69.3871747,,,,,,76.4889836,,,78.0555027,,,64.4979119,,,33.0830640,,,,,,,,,,,,,,,,,,,,88.4908068
100550310,"Sant Gadge Baba Amravati University,Amravati",Food Technology,,,,,,,,,,,100270,,,,,,,,,56723,,,56459,,,89272,,,,,,64230,,,,,,,,,,,,46268,,,24039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5619889,,,,,,,,,67.4824177,,,67.7143135,,,42.0206383,,,,,,62.0823842,,,,,,,,,,,,74.2260244,,,87.0274997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100550310,"Sant Gadge Baba Amravati University,Amravati",Food Technology,,,,,,,,,,,,,,,,,,,,,57201,,,41991,,,46499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.2875491,,,76.9900203,,,74.2012741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100550310,"Sant Gadge Baba Amravati University,Amravati",Food Technology,,,,,,,,,,107964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34335,,,,,,,,,,21.8821184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.4109415
