collegeid,college name,course,merit number,seat type,percentile
100219110,"Government College of Engineering, Amravati",Civil Engineering,88218.0,DEFOPENS,42.7946749
100219110,"Government College of Engineering, Amravati",Civil Engineering,98060.0,DEFROBCS,32.4992712
100219110,"Government College of Engineering, Amravati",Civil Engineering,52672.0,EWS,70.2135829
100219110,"Government College of Engineering, Amravati",Civil Engineering,41586.0,GNT1S,77.0666918
100219110,"Government College of Engineering, Amravati",Civil Engineering,51711.0,GNT2S,70.9263207
100219110,"Government College of Engineering, Amravati",Civil Engineering,49334.0,GNT3S,72.5765063
100219110,"Government College of Engineering, Amravati",Civil Engineering,46967.0,GOBCS,74.0962113
100219110,"Government College of Engineering, Amravati",Civil Engineering,40678.0,GOPENS,77.8495773
100219110,"Government College of Engineering, Amravati",Civil Engineering,55830.0,GSCS,68.2985361
100219110,"Government College of Engineering, Amravati",Civil Engineering,86718.0,GSTS,43.3167495
100219110,"Government College of Engineering, Amravati",Civil Engineering,45691.0,GVJS,74.5106403
100219110,"Government College of Engineering, Amravati",Civil Engineering,72814.0,LNT2S,55.8902921
100219110,"Government College of Engineering, Amravati",Civil Engineering,41709.0,LOBCS,77.0666918
100219110,"Government College of Engineering, Amravati",Civil Engineering,30535.0,LOPENS,83.4045178
100219110,"Government College of Engineering, Amravati",Civil Engineering,50420.0,LSCS,71.6451268
100219110,"Government College of Engineering, Amravati",Civil Engineering,79098.0,LSTS,50.9996691
100219110,"Government College of Engineering, Amravati",Civil Engineering,40679.0,LVJS,77.8495773
100219110,"Government College of Engineering, Amravati",Civil Engineering,19635.0,TFWS,89.407761
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,15876.0,DEFOPENS,91.4761117
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,23301.0,DEFRSCS,87.4346052
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,7872.0,EWS,95.7059576
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,7766.0,GNT1S,95.7384206
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,9524.0,GNT2S,94.8196814
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,10818.0,GNT3S,94.1471246
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,6904.0,GOBCS,96.1905225
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,6412.0,GOPENS,96.4453291
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,9920.0,GSCS,94.6469248
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,41139.0,GSTS,77.1458362
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,17056.0,GVJS,90.8078665
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,7378.0,LNT1S,95.95134
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,14019.0,LNT2S,92.4735769
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,6218.0,LOBCS,96.5320687
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,4603.0,LOPENS,97.3751017
